DOI,Título,Autores,Año,Citas,Revista
10.1080/10798587.2000.10642845,Automatic Friction Identification and Compensation with a Self-Adapting Dual Relay,K. K. Tan and Y. Xie and T. H. Lee,2003,7,Intelligent Automation &amp; Soft Computing
10.1080/10798587.2000.10642835,Reinforcement Learning-Based Power Control in Mobile Communications Systems,X. Z. Gao and S. J. Ovaska and A. V. Vasilakos,2002,1,Intelligent Automation &amp; Soft Computing
10.1080/10798587.2000.10642839,Virtual Creatures Controlled by Developmental and Evolutionary CPM Neural Networks,Zhi-Hua Zhou and Xue-Hua Shen,2003,4,Intelligent Automation &amp; Soft Computing
10.1080/10798587.2012.10643266,Prototype of an Aquacultural Information System Based on Internet of Things E-Nose,Daokun Ma and Qisheng Ding and Zhenbo Li and Daoliang Li and Yaoguang Wei,2012,11,Intelligent Automation &amp; Soft Computing
10.1080/10798587.2000.10642824,Adaptive Neural Network Control of a Class of Nonlinear Systems,A. Benallegue and D. Yahia Meddah,2001,1,Intelligent Automation &amp; Soft Computing
10.31209/2018.100000061,SI Bitmap Index and Optimization for Membership Query,Shu Gao and Zhen Wang and Liangchen Chen,2018,0,Intelligent Automation and Soft Computing
10.1080/10798587.2015.1090720,A Novel Approach for Designing a Cognitive Sugarscape Cellular Society Using An Extended Moren Network,Masumeh Maleki and Nasim Nourafza and Saeed Setayeshi,2016,2,Intelligent Automation &amp; Soft Computing
10.1080/10798587.2008.10643003,An Automated Perspective-Projected View Module for Pixel-Based CSG Renderers,Ulus Çevik,2008,1,Intelligent Automation &amp; Soft Computing
10.1080/10798587.2013.861963,Intelligent Fault Diagnosis in Nonlinear Systems,E. Alcorta-Garcia and S. Saucedo-Flores and D.A. Diaz-Romero,2014,3,Intelligent Automation &amp; Soft Computing
10.1080/10798587.2010.10643074,Special Section on Smartgrids; microgrid Systems,Mike Barnes and Petr Korba,2010,0,Intelligent Automation &amp; Soft Computing
10.32604/iasc.2022.022423,Adaptive XGBOOST Hyper Tuned Meta Classifier for Prediction of Churn Customers,B. Srikanth and Swarajya Lakshmi V. Papineni and Gutta Sridevi and D. N. V. S. L. S. Indira and K. S. R. Radhika and Khasim Syed,2022,0,Intelligent Automation &amp; Soft Computing
10.32604/iasc.2021.017898,COVID-19 Diagnosis Using Transfer-Learning Techniques,Mohammed Faisal and Fahad Albogamy and Hebah ElGibreen and Mohammed Algabri and Syed Ahad M. Alvi and Mansour Alsulaiman,2021,4,Intelligent Automation &amp; Soft Computing
10.32604/iasc.2022.019959,Model Predictive Control of H7 Transformerless Inverter Powered by PV,Ibrahim Atawi and Sherif Zaid,2022,3,Intelligent Automation &amp; Soft Computing
10.32604/iasc.2021.020184,Morphological Feature Aware Multi-CNN Model for Multilingual Text Recognition,Yujie Zhou and Jin Liu and Yurong Xie and Y. Ken Wang,2021,3,Intelligent Automation &amp; Soft Computing
10.32604/iasc.2022.021929,A Morphological Image Segmentation Algorithm for Circular Overlapping Cells,Fuchu Zhang and Yanpeng Wu and Miaoqing Xu and Sanjun Liu and Changling Peng and Zhichen Gao,2022,2,Intelligent Automation &amp; Soft Computing
