DOI,Título,Autores,Año,Citas,Revista
10.1007/s40747-016-0025-5,Centering ontologies in agent oriented software engineering processes,Ghassan Beydoun and Graham Low,2016,1,Complex &amp; Intelligent Systems
10.1007/s40747-017-0051-y,"Hybrid fuzzy-based sliding-mode control approach, optimized by genetic algorithm for quadrotor unmanned aerial vehicles",M. Pazooki and A. H. Mazinan,2018,21,Complex &amp; Intelligent Systems
10.1007/s40747-021-00387-w,An integrated decision-making COPRAS approach to probabilistic hesitant fuzzy set information,R. Krishankumar and Harish Garg and Karthik Arun and Abhijit Saha and K. S. Ravichandran and Samarjit Kar,2021,20,Complex &amp; Intelligent Systems
10.1007/s40747-021-00353-6,Multi-objective rain optimization algorithm with WELM model for customer churn prediction in telecommunication sector,Irina V. Pustokhina and Denis A. Pustokhin and Phong Thanh Nguyen and Mohamed Elhoseny and K. Shankar,2021,10,Complex &amp; Intelligent Systems
10.1007/s40747-022-00702-z,Manifold learning for novelty detection and its application in gesture recognition,Yang Luo and Yibiao Yuan and Wei Zheng and Xiaohui Mo,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00530-7,Motif-h: a novel functional backbone extraction for directed networks,Yiguang Bai and Qian Li and Yanni Fan and Sanyang Liu,2021,1,Complex &amp; Intelligent Systems
10.1007/s40747-021-00313-0,A novel approach to optimize the production cost of railway coaches of India using situational-based composite triangular and trapezoidal fuzzy LPP models,Rakesh Kumar and Gaurav Dhiman and Neeraj Kumar and Rajesh Kumar Chandrawat and Varun Joshi and Amandeep Kaur,2021,5,Complex &amp; Intelligent Systems
10.1007/s40747-020-00177-w,A fuzzy mid-term capacity and production planning model for a manufacturing system with cloud-based capacity,Tin-Chih Toly Chen and Yu-Cheng Wang,2021,4,Complex &amp; Intelligent Systems
10.1007/s40747-022-00913-4,The differential measure for Pythagorean fuzzy multiple criteria group decision-making,Iman Mohamad Sharaf,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00934-z,Adaptive encoding-based evolutionary approach for Chinese document clustering,Jun-Xian Chen and Yue-Jiao Gong and Wei-Neng Chen and Xiaolin Xiao,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00923-2,Data-driven Harris Hawks constrained optimization for computationally expensive constrained problems,Chongbo Fu and Huachao Dong and Peng Wang and Yihong Li,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00950-z,Discrete matrix factorization cross-modal hashing with multi-similarity consistency,Yiru Li and Peiwen Hu and Ying Li and Shouyong Peng and Xiaofeng Zhang and Jun Yue and Tao Yao,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00577-6,Missile guidance with assisted deep reinforcement learning for head-on interception of maneuvering target,Weifan Li and Yuanheng Zhu and Dongbin Zhao,2022,3,Complex &amp; Intelligent Systems
10.1007/s40747-021-00466-y,Blockchain-based green big data visualization: BGbV,Iqra Shahzad and Ayesha Maqbool and Tauseef Rana and Alina Mirza and Wazir Zada Khan and Sung Won Kim and Yousaf Bin Zikria and Sadia Din,2022,4,Complex &amp; Intelligent Systems
10.1007/s40747-022-00753-2,Correction to: Control in the loop for synchronization of nonlinear chaotic systems via adaptive intuitionistic neuro-fuzzy: a comparative study,Salah Helmy and Mohamed Magdy and Mohamed Hamdy,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00738-1,A Lagrangian dual-based theory-guided deep neural network,Miao Rong and Dongxiao Zhang and Nanzhe Wang,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00768-9,Correction to: Joint metric learning of local and global features for vehicle re-identification,Junge Shen and Jian Sun and Xin Wang and Zhaoyong Mao,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00415-9,Robust programming for basin-level water allocation with uncertain water availability and policy-driven scenario analysis,Liming Yao and Zerui Su and Shuhua Hou,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-022-00744-3,Star topology convolution for graph representation learning,Chong Wu and Zhenan Feng and Jiangbin Zheng and Houwang Zhang and Jiawang Cao and Hong Yan,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00769-8,Trajectory prediction based on conditional Hamiltonian generative network for incomplete observation image sequences,Kui Qian and Lei Tian and Aiguo Song,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00758-x,Generalized fuzzy ideals in ordered semirings,G. Muhiuddin and Ahsan Mahboob and N. Abughazalah,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00492-w,Strategic rationing and freshness keeping of perishable products under transportation disruptions and demand learning,Shanshan Li and Yong He and Melissza Salling,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-016-0030-8,An efficient identity-based QER cryptographic scheme,Chandrashekhar Meshram and P. L. Powar,2016,6,Complex &amp; Intelligent Systems
10.1007/s40747-021-00384-z,Feature selection algorithm for usability engineering: a nature inspired approach,Rajat Jain and Tania Joseph and Anvita Saxena and Deepak Gupta and Ashish Khanna and Kalpna Sagar and Anil K. Ahlawat,2021,5,Complex &amp; Intelligent Systems
10.1007/s40747-018-0089-5,Certain graphs under Pythagorean fuzzy environment,Muhammad Akram and Jawaria Mohsan Dar and Sumera Naz,2019,26,Complex &amp; Intelligent Systems
10.1007/s40747-021-00375-0,O2O selection mode portrait and optimization for railway service enterprises based on K-means,Changsuo Sun and Long Ye and Na Zhang,2021,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00911-6,A novel non-linear neuron model based on multiplicative aggregation in quaternionic domain,Sushil Kumar and Rishitosh Kumar Singh and Aryan Chaudhary,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-020-00241-5,FMCGP: frameshift mutation cartesian genetic programming,Wei Fang and Mindan Gu,2021,2,Complex &amp; Intelligent Systems
10.1007/s40747-022-00929-w,Surrogate-assisted evolutionary neural architecture search with network embedding,Liang Fan and Handing Wang,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-020-00250-4,Cross corpus multi-lingual speech emotion recognition using ensemble learning,Wisha Zehra and Abdul Rehman Javed and Zunera Jalil and Habib Ullah Khan and Thippa Reddy Gadekallu,2021,37,Complex &amp; Intelligent Systems
10.1007/s40747-021-00488-6,Modeling and control of a hexacopter with a passive manipulator for aerial manipulation,Pin Guo and Kun Xu and Huichao Deng and Haoyuan Liu and Xilun Ding,2021,5,Complex &amp; Intelligent Systems
